Time, y, x, Angle, D, BelowCut, Away
11, 151, 129, -90.000000, 0.020685,  0, 0 
11, 152, 129, -90.000000, 0.021618,  0, 0 
11, 153, 129, -90.000000, 0.018127,  0, 0 
11, 154, 129, -90.000000, 0.012877,  0, 0 
11, 155, 129, -90.000000, 0.007230,  0, 0 
11, 156, 129, -90.000000, 0.001181,  0, 0 
11, 157, 129, 90.000000, 0.006449,  0, 1 
11, 158, 129, 90.000000, 0.017542,  0, 1 
11, 159, 129, 90.000000, 0.037005,  0, 1 
11, 160, 129, 90.000000, 0.062400,  0, 1 
11, 161, 129, 90.000000, 0.083223,  0, 1 
11, 162, 129, 90.000000, 0.089241,  0, 1 
11, 163, 129, 90.000000, 0.086882,  0, 1 
11, 164, 129, 90.000000, 0.082039,  0, 1 
11, 165, 129, 90.000000, 0.072645,  0, 1 
11, 166, 129, 90.000000, 0.061186,  0, 1 
11, 167, 129, 90.000000, 0.052952,  0, 1 
11, 168, 129, 90.000000, 0.046990,  0, 1 
11, 169, 129, 90.000000, 0.039571,  0, 1 
11, 170, 129, 90.000000, 0.027532,  0, 1 
11, 171, 129, 90.000000, 0.011304,  0, 1 
11, 172, 129, -90.000000, 0.007267,  0, 0 
11, 173, 129, -90.000000, 0.030314,  0, 0 
11, 174, 129, -90.000000, 0.056322,  0, 0 
11, 123, 130, 90.000000, 0.017428,  0, 1 
11, 124, 130, 90.000000, 0.010642,  0, 1 
11, 125, 130, -90.000000, 0.004570,  0, 0 
11, 126, 130, -90.000000, 0.013544,  0, 0 
11, 127, 130, -90.000000, 0.019263,  0, 0 
11, 128, 130, -90.000000, 0.024836,  0, 0 
11, 141, 130, 90.000000, 0.012900,  0, 1 
11, 142, 130, 90.000000, 0.007303,  0, 1 
11, 143, 130, 90.000000, 0.001793,  0, 1 
11, 144, 130, -90.000000, 0.002759,  0, 0 
11, 145, 130, -90.000000, 0.004270,  0, 0 
11, 146, 130, -90.000000, 0.003954,  0, 0 
11, 147, 130, -90.000000, 0.005123,  0, 0 
11, 148, 130, -90.000000, 0.006028,  0, 0 
11, 149, 130, -90.000000, 0.009991,  0, 0 
11, 150, 130, -90.000000, 0.014886,  0, 0 
11, 151, 130, -90.000000, 0.018914,  0, 0 
11, 152, 130, -90.000000, 0.019145,  0, 0 
11, 153, 130, -90.000000, 0.015309,  0, 0 
11, 154, 130, -90.000000, 0.009905,  0, 0 
11, 155, 130, -90.000000, 0.004010,  0, 0 
11, 156, 130, 90.000000, 0.001778,  0, 1 
11, 157, 130, 90.000000, 0.009131,  0, 1 
11, 158, 130, 90.000000, 0.020719,  0, 1 
11, 159, 130, 90.000000, 0.040009,  0, 1 
11, 160, 130, 90.000000, 0.064322,  0, 1 
11, 161, 130, 90.000000, 0.082544,  0, 1 
11, 162, 130, 90.000000, 0.087715,  0, 1 
11, 163, 130, 90.000000, 0.085230,  0, 1 
11, 164, 130, 90.000000, 0.080206,  0, 1 
11, 165, 130, 90.000000, 0.071440,  0, 1 
11, 166, 130, 90.000000, 0.060685,  0, 1 
11, 167, 130, 90.000000, 0.052787,  0, 1 
